property_id,property_name,reference_rate_night,rating,n_reviews,city,country,property_type,url_property
50617554,Habitación en Sant Adrià de Besòs,35.0,4.45,146,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/50617554?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1222713834&search_mode=regular_search&check_in=2024-11-27&check_out=2024-12-02&source_impression_id=p3_1730069714_P3V6HnX2myqdbuk7&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
40447482,Habitación en Barcelona,40.0,4.82,39,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/40447482?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1665978344&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1730069714_P3LUAPU1vd3JFO_z&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
1093431054711914255,Habitación en Barcelona,70.0,4.79,47,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1093431054711914255?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1904575728&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730069714_P33SJCRzRXCsVgav&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
995417402635743515,Habitación en Barcelona,35.0,4.7,57,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/995417402635743515?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1807536500&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069714_P3xMYwI7SZp8Xxco&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
1182544876601100068,Habitación en Barcelona,31.0,4.75,4,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1182544876601100068?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1933999963&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730069714_P3Mr1-1mpRmJLKlV&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
1252090225349210863,Habitación en Barcelona,41.0,5.0,3,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1252090225349210863?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1998853290&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1730069724_P3mOx91DZQJpUsiq&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
654948332768597138,Suite de invitados en Hospitalet de Llobregat,45.0,4.58,19,Barcelona,España,Suite,https://www.airbnb.com.pe/rooms/654948332768597138?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-20&check_out=2024-11-25&source_impression_id=p3_1730069726_P3kokkrO38SyAFb1&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
994793512972717331,Apartamento en Barcelona,76.0,4.4,85,Barcelona,España,Apartamento,https://www.airbnb.com.pe/rooms/994793512972717331?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730069726_P32B-6bv41bOCjof&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1258532236251609781,Habitación en Barcelona,46.0,0.0,0,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1258532236251609781?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2004517945&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730069726_P3Fj8Sc29JOfaT58&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
995412486481049630,Habitación en Barcelona,35.0,4.67,36,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/995412486481049630?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1857008330&search_mode=regular_search&check_in=2024-11-15&check_out=2024-11-20&source_impression_id=p3_1730069726_P3PN7aCbp9AX314t&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
936143488605005872,Habitación en Barcelona,39.0,4.33,6,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/936143488605005872?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971990955&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730069726_P3WL_eH6Y5vTrdTm&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1247701163939139089,Habitación en Barcelona,42.0,0.0,0,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1247701163939139089?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1995329486&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730069726_P3pN6DGRv_YWHpWC&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
35556392,Habitación en Barcelona,46.0,4.45,173,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/35556392?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1630258450&search_mode=regular_search&check_in=2024-12-07&check_out=2024-12-12&source_impression_id=p3_1730069726_P3V-_96urFPwGkKM&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1202849610190743486,Apartamento en Barcelona,75.0,4.67,6,Barcelona,España,Apartamento,https://www.airbnb.com.pe/rooms/1202849610190743486?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-02&check_out=2024-12-07&source_impression_id=p3_1730069726_P34CgrHce-9raMKI&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
625262449163269463,Habitación en Barcelona,51.0,4.61,199,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/625262449163269463?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1439087892&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730069726_P3sm88jAp_d-1ByI&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1249307176467327284,Habitación en Barcelona,45.0,0.0,0,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1249307176467327284?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1996813701&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-06&source_impression_id=p3_1730069726_P3Pcjhs1aoej_jfx&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1267947574351409360,Habitación en Barcelona,32.0,0.0,0,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1267947574351409360?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2012756987&search_mode=regular_search&check_in=2024-12-07&check_out=2024-12-12&source_impression_id=p3_1730069726_P3KTQt4yVDWpmz5a&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
711356790395762072,Habitación en Sant Adrià de Besòs,30.0,4.4,35,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/711356790395762072?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1629000508&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730069726_P3ACD2MMBnm0pFNl&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1251445532123168746,Habitación en Barcelona,38.0,3.67,3,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1251445532123168746?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1998368662&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069726_P357EhoNQLl5Wh0H&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
18913927,Habitación en Barcelona,44.0,4.31,153,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/18913927?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=315346761&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730069726_P3kw9AYPYlsAbB-g&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
671858287175462597,Habitación en Barcelona,37.0,4.38,58,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/671858287175462597?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1468474592&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069726_P3xq6ZWjnibsGASn&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
1192880757313867768,Habitación en Barcelona,35.0,4.36,11,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1192880757313867768?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1944795780&search_mode=regular_search&check_in=2024-12-06&check_out=2024-12-11&source_impression_id=p3_1730069726_P33Tg6XMV6ieZQIn&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
52514141,Habitación en Barcelona,46.0,4.49,43,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/52514141?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1835932639&search_mode=regular_search&check_in=2024-11-28&check_out=2024-12-03&source_impression_id=p3_1730069726_P30kOYYP2SDwWSK8&previous_page_section_name=1000&federated_search_id=5a1d8b41-b153-419c-bbb5-0a31523d2c23&currency=EUR
22732409,Habitación en Barcelona,37.0,4.29,113,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/22732409?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1637161425&search_mode=regular_search&check_in=2024-11-11&check_out=2024-11-16&source_impression_id=p3_1730069736_P3qDEOcaXomAIUBv&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
742074743081677749,Habitación en Barcelona,76.0,4.93,164,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/742074743081677749?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1512110039&search_mode=regular_search&check_in=2024-12-09&check_out=2024-12-14&source_impression_id=p3_1730069738_P3Wgzvb8csNc2qgN&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
